# Wavelength_Angstrom  Normalized_Flux
4.814850011407899729e+03 9.844142794609069824e-01
4.814900011408600221e+03 9.882835149765014648e-01
4.814950011409299805e+03 9.600911736488342285e-01
4.815000011410000297e+03 9.218772053718566895e-01
4.815050011410699881e+03 9.043207168579101562e-01
4.815100011411399464e+03 9.247260689735412598e-01
4.815150011412099957e+03 9.682893753051757812e-01
4.815200011412800450e+03 9.804189801216125488e-01
4.815250011413500033e+03 9.847261905670166016e-01
4.815300011414199616e+03 9.903678894042968750e-01
4.815350011414900109e+03 9.953219294548034668e-01
4.815400011415599693e+03 9.864194989204406738e-01
4.815450011416300185e+03 9.855692386627197266e-01
4.815500011416999769e+03 9.890348315238952637e-01
4.815550011417700262e+03 9.910838603973388672e-01
4.815600011418399845e+03 9.555160999298095703e-01
4.815650011419100338e+03 9.446039795875549316e-01
4.815700011419799921e+03 9.047186970710754395e-01
4.815750011420499504e+03 8.970919251441955566e-01
4.815800011421199997e+03 9.430720210075378418e-01
4.815850011421899580e+03 9.812781214714050293e-01
4.815900011422600073e+03 9.876285791397094727e-01
4.815950011423299657e+03 9.817877411842346191e-01
4.816000011424000149e+03 9.860200881958007812e-01
4.816050011424699733e+03 9.922664165496826172e-01
4.816100011425400226e+03 9.890424013137817383e-01
4.816150011426099809e+03 9.885610342025756836e-01
4.816200011426800302e+03 9.824054837226867676e-01
4.816250011427499885e+03 9.802861809730529785e-01
4.816300011428200378e+03 9.870990514755249023e-01
4.816350011428899961e+03 9.928430914878845215e-01
4.816400011429599544e+03 9.950420856475830078e-01
4.816450011430300037e+03 9.861479401588439941e-01
4.816500011430999621e+03 9.838987588882446289e-01
4.816550011431700113e+03 9.939424395561218262e-01
4.816600011432399697e+03 1.006439566612243652e+00
4.816650011433100190e+03 9.987974166870117188e-01
4.816700011433799773e+03 1.001408457756042480e+00
4.816750011434500266e+03 9.986953139305114746e-01
4.816800011435199849e+03 9.984745979309082031e-01
4.816850011435900342e+03 1.001169562339782715e+00
4.816900011436599925e+03 1.007366418838500977e+00
4.816950011437300418e+03 1.009427070617675781e+00
4.817000011438000001e+03 9.934285879135131836e-01
4.817050011438699585e+03 9.907760620117187500e-01
4.817100011439400078e+03 9.971040487289428711e-01
4.817150011440099661e+03 9.836052656173706055e-01
4.817200011440800154e+03 9.796395301818847656e-01
4.817250011441499737e+03 9.862111210823059082e-01
4.817300011442200230e+03 1.001322031021118164e+00
4.817350011442899813e+03 1.008008360862731934e+00
4.817400011443600306e+03 1.004183173179626465e+00
4.817450011444299889e+03 9.858467578887939453e-01
4.817500011444999473e+03 9.047858715057373047e-01
4.817550011445699965e+03 7.620701193809509277e-01
4.817600011446400458e+03 6.773138046264648438e-01
4.817650011447100042e+03 7.404758930206298828e-01
4.817700011447799625e+03 8.687817454338073730e-01
4.817750011448500118e+03 9.390149712562561035e-01
4.817800011449199701e+03 9.189400672912597656e-01
4.817850011449900194e+03 9.207230210304260254e-01
4.817900011450599777e+03 9.530108571052551270e-01
4.817950011451300270e+03 9.791386723518371582e-01
